track,album,release_date,recording_period,producers,writers,vocals
Carry On,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stephen Stills,Stills
Teach Your Children,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Graham Nash,Nash
Almost Cut My Hair,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",David Crosby,Crosby
Helpless,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Neil Young,Young
Déjà Vu,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,Crosby
Our House,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,Nash
4 + 20,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,Stills
"Country Girla. Whiskey Boot Hillb. Down, Down, Downc. Country Girl (I Think You’re Pretty)",Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Young,"Young with Crosby, Stills & Nash"
Everybody I Love You,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,Stills with Crosby & Nash
Our House,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
4 + 20,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Song With No Words (Tree With No Leaves),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young","Crosby, Nash",
Birds,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Young,
So Begins the Task / Hold On Tight,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Right Between the Eyes,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
Almost Cut My Hair,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
Teach Your Children,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
How Have You Been,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",John Sebastian,
Triad,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
Horses Through a Rainstorm,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
Know You Got to Run,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Question Why,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
Laughing,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
She Can't Handle It,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Sleep Song,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
Déjà Vu,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
Everyday We Live,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
The Lee Shore,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
I'll Be There,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Bluebird Revisted,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
30 Dollar Fine,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Ivory Tower,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Same Old Song,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Hold On Tight / Change Partners,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Carry On (Early Alternate Mix),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Teach Your Children (Early Version),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
Almost Cut My Hair (Early Version),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
Helpless (with harmonica),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Young,
Woodstock (Alternate),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Mitchell,
Déjà Vu (Early Alternate Mix),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
Our House (Early Version),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
4 + 20 (Alternate),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Shadow Captain,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert","David Crosby, Craig Doerge","Crosby, Stills & Nash"
See the Changes,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Stephen Stills,Stills with Crosby & Nash
Carried Away,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Graham Nash,Nash with Crosby
Fair Game,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Stephen Stills,Stills with Crosby & Nash
Anything at All,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",David Crosby,Crosby
Dark Star,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Stephen Stills,Stills
Just a Song Before I Go,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Graham Nash,Nash
Run from Tears,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Stephen Stills,Stills
Cold Rain,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Graham Nash,Nash
In My Dreams,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",David Crosby,Crosby
Turn Your Back on Love,Daylight Again,"June 21, 1982",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Graham Nash, Michael Stergis",
Wasted on the Way,Daylight Again,"June 21, 1982",1980–1981,"David Crosby, Stephen Stills, Graham Nash",Graham Nash,
Southern Cross,Daylight Again,"June 21, 1982",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Richard Curtis, Michael Curtis",
Into the Darkness,Daylight Again,"June 21, 1982",1980–1981,"David Crosby, Stephen Stills, Graham Nash",Graham Nash,
Since I Met You,Daylight Again,"June 21, 1982",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Michael Stergis",
Too Much Love to Hide,Daylight Again,"June 21, 1982",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Gerry Tolman",
Song for Susan,Daylight Again,"June 21, 1982",1980–1981,"David Crosby, Stephen Stills, Graham Nash",Graham Nash,
You Are Alive,Daylight Again,"June 21, 1982",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Michael Stergis",
Might As Well Have a Good Time,Daylight Again,"June 21, 1982",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Judy Henske, Craig Doerge",
Raise a Voice,Daylight Again,"June 21, 1982",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Graham Nash, Stephen Stills",
Feel Your Love,Daylight Again,"June 21, 1982",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Graham Nash",
Tomorrow Is Another Day,Daylight Again,"June 21, 1982",1980–1981,"David Crosby, Stephen Stills, Graham Nash",Stephen Stills,
American Dream,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Neil Young,
Got It Made,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stephen Stills, Young",
Name of Love,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Young,
Don't Say Goodbye,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Graham Nash, Joe Vitale",
This Old House,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Young,
Nighttime for the Generals,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","David Crosby, Craig Doerge",
Shadowland,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Nash, Rick Ryan, Vitale",
Drivin' Thunder,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stills, Young",
Clear Blue Skies,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Nash,
That Girl,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stills, Vitale, Bob Glaub",
Compass,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Crosby,
Soldiers of Peace,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Nash, Doerge, Vitale",
Feel Your Love,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Young,
Night Song,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stills, Young",
Live It Up,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,Joe Vitale,Nash
If Anybody Had a Heart,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,"John David Souther, Danny Kortchmar",Nash
Tomboy,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,Stephen Stills,Stills
Haven't We Lost Enough?,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,"Stills, Kevin Cronin",Stills with Crosby & Nash
(Got to Keep) Open,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,"Stills, Nash",Stills
Straight Line,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,Tony Beard,Nash
House of Broken Dreams,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,Nash,Nash
Arrows,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,"Michael Hedges, Crosby",Crosby
Only Waiting for You,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Stephen Stills,Stills
Find a Dream,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Graham Nash,Nash
Camera,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,"David Crosby, Stills",Crosby
Unequal Love,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Nash,Nash
Till It Shines,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Crosby,Crosby
It Won't Go Away,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Stills,Stills with Crosby
These Empty Days,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,"Nash, Crosby",Stills with Crosby & Nash
In My Life,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,"John Lennon, Paul McCartney","Crosby, Stills & Nash"
Street to Lean On,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Crosby,Crosby
Bad Boyz,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Stills,Stills
After the Storm,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Nash,Nash
Faith in Me,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith","Stephen Stills, Joe Vitale",Stills
Looking Forward,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Neil Young,"Young with Crosby, Stills & Nash"
Stand and Be Counted,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith","David Crosby, James Raymond",Crosby
Heartland,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Graham Nash,Nash
Seen Enough,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Stills,Stills
Slowpoke,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Young,Young
Dream for Him,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Crosby,Crosby
No Tears Left,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Stills,Stills
Out of Control,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Young,Young
Someday Soon,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Nash,Nash with Crosby & Stills
Queen of Them All,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Young,Young
Southbound Train,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Graham Nash,
Whole Cloth,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,David Crosby,
Blacknotes,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Nash,
Stranger's Room,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Nash,
Where Will I Be?,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Crosby,
Frozen Smiles,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Nash,
Games,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Crosby,
Girl to Be on My Mind,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Nash,
The Wall Song,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Crosby,
Carry Me,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",David Crosby,
Mama Lion,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Graham Nash,
Bittersweet,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Crosby,
Take the Money and Run,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Nash,
Naked in the Rain,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard","Crosby, Nash",
Low Down Payment,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Crosby,
Cowboy of Dreams,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Nash,
Homeward Through the Haze,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Crosby,
Fieldworker,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Nash,
Deja Vu,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Crosby,
Lady of the Island,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Nash,
Prison Song,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Nash,
Carry Me,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Crosby,
Calley's Song,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Nash,
Another Sleep Song,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Nash,
King of the Mountain,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Crosby,
Time After Time,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Crosby,
Guinevere,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Crosby,
The Last Whale,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard","Nash, Crosby",
Wooden Ships,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard","Crosby, Stephen Stills, Paul Kantner",
What Are Their Names?,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Crosby,
Chicago,Wind on the Water,"September 15, 1975",,"David Crosby, Graham Nash, Stephen Barncard",Nash,
Spotlight,Whistling Down the Wire,"June 25, 1976",,"David Crosby, Graham Nash, Stephen Barncard","Graham Nash, Danny Kortchmar",
Broken Bird,Whistling Down the Wire,"June 25, 1976",,"David Crosby, Graham Nash, Stephen Barncard","David Crosby, Nash",
Time After Time,Whistling Down the Wire,"June 25, 1976",,"David Crosby, Graham Nash, Stephen Barncard",Crosby,
Dancer (instrumental),Whistling Down the Wire,"June 25, 1976",,"David Crosby, Graham Nash, Stephen Barncard",Crosby,
J.B.'s Blues,Whistling Down the Wire,"June 25, 1976",,"David Crosby, Graham Nash, Stephen Barncard",Nash,
Marguerita,Whistling Down the Wire,"June 25, 1976",,"David Crosby, Graham Nash, Stephen Barncard",Nash,
Taken at All,Whistling Down the Wire,"June 25, 1976",,"David Crosby, Graham Nash, Stephen Barncard","Crosby, Nash",
Foolish Man,Whistling Down the Wire,"June 25, 1976",,"David Crosby, Graham Nash, Stephen Barncard",Crosby,
Lay Me Down,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",James Raymond,
Puppeteer,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Raymond,
Through Here Quite Often,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","David Crosby, Dean Parks",
Grace,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Raymond,
Jesus of Rio,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","Graham Nash, Jeff Pevar",
I Surrender,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Marc Cohn,
Luck Dragon,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","Raymond, Crosby",
On the Other Side of Town,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Nash,
Half Your Angels,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Nash,
They Want It All,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Crosby,
Don't Dig Here,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","Raymond, Nash, Russ Kunkel",
Milky Way Tonight,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Nash,
Charlie,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","Crosby, Parks",
Penguin in a Palm Tree,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Nash,
Michael (Hedges Here),Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Nash,
Samurai,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Crosby,
Shining on Your Dreams,Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","Nash, Kunkel",
Live on (the Wall),Crosby & Nash,"August 10, 2004",January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","Patrick Flannery, Nash, Steve Plunkett, Spencer Proffer",
Immigration Man,Crosby-Nash Live,"October 31, 1977","September 7, 1975 – September 11, 1976","David Crosby, Graham Nash, Don Gooch, Stephen Barncard",Graham Nash,
The Lee Shore,Crosby-Nash Live,"October 31, 1977","September 7, 1975 – September 11, 1976","David Crosby, Graham Nash, Don Gooch, Stephen Barncard",David Crosby,
I Used to Be a King,Crosby-Nash Live,"October 31, 1977","September 7, 1975 – September 11, 1976","David Crosby, Graham Nash, Don Gooch, Stephen Barncard",Nash,
King of the Mountain(bonus track),Crosby-Nash Live,"October 31, 1977","September 7, 1975 – September 11, 1976","David Crosby, Graham Nash, Don Gooch, Stephen Barncard",Crosby,
Page 43,Crosby-Nash Live,"October 31, 1977","September 7, 1975 – September 11, 1976","David Crosby, Graham Nash, Don Gooch, Stephen Barncard",Crosby,
Simple Man,Crosby-Nash Live,"October 31, 1977","September 7, 1975 – September 11, 1976","David Crosby, Graham Nash, Don Gooch, Stephen Barncard",Nash,
Foolish Man,Crosby-Nash Live,"October 31, 1977","September 7, 1975 – September 11, 1976","David Crosby, Graham Nash, Don Gooch, Stephen Barncard",Crosby,
Bittersweet(bonus track),Crosby-Nash Live,"October 31, 1977","September 7, 1975 – September 11, 1976","David Crosby, Graham Nash, Don Gooch, Stephen Barncard",Crosby,
Mama Lion,Crosby-Nash Live,"October 31, 1977","September 7, 1975 – September 11, 1976","David Crosby, Graham Nash, Don Gooch, Stephen Barncard",Nash,
Love Work Out,The Best of Crosby & Nash,1978,1971–76,"Stephen Barncard, Bill Halverson, David Crosby, Graham Nash",Graham Nash,
The Wall Song,The Best of Crosby & Nash,1978,1971–76,"Stephen Barncard, Bill Halverson, David Crosby, Graham Nash",David Crosby,
Wild Tales,The Best of Crosby & Nash,1978,1971–76,"Stephen Barncard, Bill Halverson, David Crosby, Graham Nash",Graham Nash,
Carry Me,The Best of Crosby & Nash,1978,1971–76,"Stephen Barncard, Bill Halverson, David Crosby, Graham Nash",David Crosby,
Southbound Train,The Best of Crosby & Nash,1978,1971–76,"Stephen Barncard, Bill Halverson, David Crosby, Graham Nash",Graham Nash,
Laughing,The Best of Crosby & Nash,1978,1971–76,"Stephen Barncard, Bill Halverson, David Crosby, Graham Nash",David Crosby,
Chicago,The Best of Crosby & Nash,1978,1971–76,"Stephen Barncard, Bill Halverson, David Crosby, Graham Nash",Graham Nash,
Bittersweet,The Best of Crosby & Nash,1978,1971–76,"Stephen Barncard, Bill Halverson, David Crosby, Graham Nash",David Crosby,
anticipatory crowd,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,,
Déjà Vu,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,David Crosby,
Wooden Ships,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,"Crosby, Paul Kantner, Stephen Stills",
Man in the Mirror,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,Graham Nash,
Orleans,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,,
I Used to Be A King,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,Nash,
Traction in the Rain,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,Crosby,
The Lee Shore,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,Crosby,
Southbound Train,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,Nash,
Laughing,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,Crosby,
Triad,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,Crosby,
Where Will I Be?,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,Crosby,
Strangers Room,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,Nash,
Immigration Man,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,Nash,
Guinnevere,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,Crosby,
Teach Your Children,Another Stoney Evening,"January 13, 1998","October 10, 1971",Stephen Barncard,Nash,
